Course ID,Course Subject,Course Number,Course Name,Course Description
26,ACCO,220,Financial and Managerial Accounting,"This course provides an introduction to accounting principles underlying the preparation of financial reports with an emphasis on the relationship between accounting information and production decisions. It examines the relationship between costs, production volume, and profit, as well as the practical benefits of standard costs for planning and control purposes. The role of accounting information in various manufacturing decisions is also highlighted.

NOTE: This course would be useful to Engineering students.
NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for ACCO 230, 240 may not take this course for credit.

"
27,ACCO,230,Introduction to Financial Accounting,"This course provides an introduction to accounting concepts underlying financial statements of organizations. It focuses on the analysis, measurement, and reporting of business transactions to users of financial statements. It also examines the uses and limitations of accounting information for investment and credit decisions.

NOTE: JMSB students may not take this course for credit.
""NOTE: Students who receive a grade of """"C"""" or better may be exempt from COMM 217.""
NOTE: Students who have received credit for ACCO 220 may not take this course for credit.

"
28,ACCO,240,Introduction to Managerial Accounting,"This course examines the role of accounting information for decision making, and focuses on concepts and techniques used in planning operations, controlling activities, and evaluating managerial performance. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques.
Prerequisite: ACCO 230.
NOTE: JMSB students may not take this course for credit.
NOTE: Students who receive a passing grade may be exempt from COMM 305.
NOTE: Students who have received credit for ACCO 220 may not take this course for credit.

"
35,ACCO,310,Financial Reporting I,"Intensive study is made of the theory and practice of external financial reporting by business organizations, focusing on concepts and procedures underlying the measurement of assets and the determination of income.
Prerequisite: COMM 305 previously or concurrently.




"
43,ACCO,320,Financial Reporting II,"This course continues the intensive study of ACCO 310, with particular emphasis on accounting for liabilities, shareholders' equity, and other related topics such as earnings per share, pension accounting, and accounting for income taxes.
Prerequisite: ACCO 310.




"
53,ACCO,330,Cost and Management Accounting,"This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accumulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.
Prerequisite: COMM 305.




"
55,ACCO,340,Income Taxation in Canada,"This course provides core knowledge regarding the federal income tax structure and the Canadian goods and services tax system. It examines the taxation of employment, business, property income, capital gains and other sources of income for an individual.
Prerequisite: COMM 217.




"
57,ACCO,350,Accounting and Information Technology,"This course examines the role of computerized accounting information systems (AIS) in organizations. Students learn how to justify, design, and utilize AIS to provide pertinent information to managers for decision making. The course helps to identify appropriate usage of information technology in specific accounting contexts. Topics include e-business, computer fraud, information systems security and controls, systems analysis, and management of information technology.
Prerequisite: COMM 226 or 301, COMM 305"
58,ACCO,355,Analysis of Financial Statements,"This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial statement analysis are discussed and applied to case studies and actual companies.
Prerequisite: COMM 305, 308.

NOTE: This course would be useful for students in Finance and Management."
59,ACCO,365,U.S. Federal Taxation,"This course familiarizes the student with individual and corporate taxation in the U.S. The use of professional judgment in the application of tax planning recommendations is also addressed in this course.
Prerequisite: COMM 217 or ACCO 230.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



"
60,ACCO,400,Accounting Theory,"This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.
Prerequisite: ACCO 320.




"
86,ACCO,420,Financial Reporting III,"This course examines the theory and practice of accounting for intercorporate investments, business combinations, consolidation of financial statements, and foreign currency transactions and operations.
Prerequisite: ACCO 320.




"
89,ACCO,425,FINANCIAL REPORTING IV,Please see UGRD Calendar
92,ACCO,430,Advanced Management Accounting,"The course examines the integrative and interdisciplinary role of management accounting and its contribution to the complex management process. The course focuses on cases that deal with strategic issues in management accounting and management's need for both quantitative and qualitative information for planning, control, performance evaluation and decision making.
Prerequisite: ACCO 330.




"
97,ACCO,435,STRAT ACCTNG CASE ANALYSIS,Please see UGRD Calendar
98,ACCO,440,Advanced Taxation,"This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.
Prerequisite: ACCO 340.




"
104,ACCO,450,Assurance Services,"This course examines the concepts and current standards of various assurance services, especially the audit of financial statements. It emphasizes the audit process and the role of the public accountant in expressing an opinion on the financial statements of an organization.
Prerequisite: ACCO 320 previously or concurrently.




"
106,ACCO,455,Fraud Prevention and Investigation,"This course examines the principles of and methodology used in fraud detection and deterrence. Topics covered may include skimming, cash larceny, cheque tampering, billing, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, fraudulent financial statements, conducting investigations and interviewing witnesses. This course may also examine auditors' legal responsibilities towards fraud, the evaluation of internal controls and important pieces of legislation such as the Sarbanes-Oxley Act and the Criminal Code. Finally, the ethical aspects associated with fraud are discussed. Class sessions consist of lectures, real-life fraud case discussions and the presentation of DVDs from the Association of Certified Fraud Examiners.
Prerequisite: COMM 217, 315.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



"
109,ACCO,465,Advanced Assurance Services,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors. The course embraces the requirements of the CA Student Competency Map for assurance and the CGA Modules and Readings AU2.
Prerequisite: ACCO 320, 360; or ACCO 450.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit."
173,ACCO,631,BUSINESS ADVISORY SERVICES,Please see GRAD Calendar
174,ACCO,635,INTEGRATED APPROACH TO AUDIT,Please see GRAD Calendar
178,ACCO,651,FINANCIAL REPORTING:COMP APP,Please see GRAD Calendar
182,ACCO,672,MANAGEMENT ACCOUNTING II,Please see GRAD Calendar
185,ACCO,681,FINAN L ACCO G/REPORT G III,Please see GRAD Calendar
186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,Please see GRAD Calendar
187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,Please see GRAD Calendar
189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,Please see GRAD Calendar
190,ACCO,691,BUSINESS VALUATIONS,Please see GRAD Calendar
191,ACCO,695,SEMINAR IN SPECIAL TOPICS,Please see GRAD Calendar
40004,ACCO,631T,TUT/BSNSS ADVISORY SERVICES,Please see GRAD Calendar
40005,ACCO,635T,TUT/INTEGRATED APPRO/AUDIT G,Please see GRAD Calendar
43001,ACCO,650,FINA REPORTING IN PRACTICE,Please see GRAD Calendar
44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,Please see GRAD Calendar
44003,ACCO,651T,TUTORIAL IN FINA REP/COM APP,Please see GRAD Calendar
44004,ACCO,653,INFO SYS/INTERNAL CONTROL,Please see GRAD Calendar
45085,ACCO,652,BUSINESS ADVISORY SERVICES,Please see GRAD Calendar
45114,ACCO,470,SPECIAL TOPICS IN ACCOUNTING,Please see UGRD Calendar
45884,ACCO,652T,TUTORIAL IN BUSINESS ADV SER,Please see GRAD Calendar
45885,ACCO,653T,TUTORIAL IN INF SYS/INT.CONT,Please see GRAD Calendar
46442,ACCO,471,ACCOUNTING SEMINAR,Please see UGRD Calendar
46443,ACCO,590,SPECIAL SEMINAR/ACCOUNTING,Please see GRAD Calendar
46444,ACCO,595,SPECIAL TOPICS IN ACCO,Please see GRAD Calendar
47353,ACCO,655,Taxation and Decision-Making,Please see Graduate Calendar
47354,ACCO,655T,Tutorial in Taxation/Decision making,Please see Graduate Calendar
47360,ACCO,658,Capstone I Seminar,Please see Graduate Calendar
47361,ACCO,658T,Tutorial in Capstone I Seminar,Please see Graduate Calendar
47363,ACCO,659,Capstone II Examination Preparation,Please see Graduate Calendar
47364,ACCO,659T,Tutorial in Capstone II Examination,Please see Graduate Calendar
47367,ACCO,654,Assurance and Professional Practice,Please see Graduate Calendar
47368,ACCO,654T,Tutorial in Assurance and Professional Practice,Please see Graduate Calendar
47369,ACCO,656,Performance Management,Please see Graduate Calendar
47370,ACCO,656T,Tutorial in Performance Management,Please see Graduate Calendar
