 "topic_label" , "lecture" , "lab" , "fromoutline" , "fromlecture" , "fromlab" , "uri" ,
 "First_Nations" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Aboriginal_peoples_in_Canada" ,
 "First_Nations" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Aboriginal_peoples_in_Canada" ,
 "RDFS" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/RDF_Schema" ,
 "Métis" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Métis_in_Canada" ,
 "Métis" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Métis_in_Canada" ,
 "Intelligent_Systems" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Artificial_intelligence" ,
 "RDF" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Resource_Description_Framework" ,
 "webcam" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Webcam" ,
 "webcam" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Webcam" ,
 "Concordia" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Concordia_University" ,
 "Concordia" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Concordia_University" ,
 "agent-based" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Computer_simulation" ,
 "3G" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/3G" ,
 "3G" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/3G" ,
 "Machine_Learning" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Machine_learning" ,
 "SPARQL" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/SPARQL" ,
 "international" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/International_law" ,
 "international" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/International" ,
 "international" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/International_law" ,
 "international" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/International" ,
 "IDE" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Integrated_development_environment" ,
 "Page_3" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Page_3" ,
 "Page_3" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Page_3" ,
